dACC,vACC,AId,AIv,Cla,CPu,NAc,VP,BNST,BLA,CeA,DG,MHb,LHb,PVT,PAG,SNc,SNr,VTA
22.7869984,14.222427,13.2074046,5.65828678,12.1857676,6.15426322,7.90959821,3.43791839,8.19814667,4.91207362,6.67355123,1.09505012,0.83831637,2.71591435,2.0902933,1.11460412,1.47442638,1.79943825,6.61331079
8.75715233,6.84649113,2.08141351,1.51743514,9.5274128,2.8805286,4.020582624,1.01423282,4.15840233,2.47723084,1.99868144,0.95133497,2.97190173,3.81426411,2.93543015,1.23651194,0.61550853,0.97230813,1.32940652
26.9046357,15.2757666,6.97455977,3.70742629,14.7952159,20.4741445,15.12778458,8.67518172,14.8173764,13.4715548,11.2648922,1.69715617,3.92574205,10.2216249,2.72327346,3.57630277,5.51555595,1.85991601,19.6974028
8.05072578,4.65670228,5.56394881,2.96550807,10.0567163,6.3102966,6.155775028,3.62926459,3.6283453,4.93739527,1.71557718,0.10320753,0,0,1.00709534,2.02900716,2.17529283,1.3148261,4.49871988
0.27882059,0.13713669,0.0892191,0,0.35745047,0.4368597,0.44422731,0.46569743,2.94889674,2.56108206,1.71329336,0.35455604,1.7165406,0.20255994,2.05873795,0.79909673,1.20652096,0.84692433,1.38510652
19.7748453,12.1832713,7.94960921,4.42031787,17.007277,7.99782482,9.932526213,6.34244647,11.6892966,22.8385567,14.5040309,1.21875351,3.62390924,3.26244484,3.84762221,4.57678392,4.15588406,2.15336337,8.51340965
13.2241005,8.58260705,3.95752653,2.40616256,8.92574817,5.16939645,8.5123077,9.00542955,4.78283656,1.68668335,0.98071887,0.15365847,0,0.40953044,1.96129022,3.96829157,4.17328125,1.56607953,8.7321725
27.5293441,18.1905924,4.83579992,1.7882355,13.1729301,12.3753308,8.615734708,4.20211756,13.0037676,4.05892943,10.8690966,0.45693355,2.52735149,1.60520331,2.97428332,1.63957298,5.03962485,1.3319375,3.66073376
