dACC,vACC,AId,AIv,Cla,CPu,NAc,VP,BNST,BLA,CeA,DG,MHb,LHb,PVT,PAG,SNc,SNr,VTA
5.4640532,3.1159462,8.81303564,4.61411809,8.58799665,3.98675748,4.887188908,2.76289484,2.83188825,10.984268,5.36255235,2.7962467,0.6975579,2.66932413,1.69530982,1.39578411,1.46355439,1.42276988,2.52629012
5.5243598,5.29660997,5.27317718,3.55790822,14.0512595,9.80031068,8.113600649,2.72702567,9.94158307,12.6350603,5.00867381,2.19948297,2.06218645,7.03985014,2.2009592,1.62927289,1.32061089,1.42102929,3.54831152
4.9078398,4.04741626,5.73617258,2.84225599,15.6304115,11.5930047,7.830300934,3.14934945,5.12437727,15.1942964,9.50650149,2.87494368,0,1.9726947,1.82783579,3.17809253,1.34898538,1.68170267,4.06987247
9.74140753,4.19225943,10.3195429,8.22080173,12.6015591,20.6220553,7.169157773,2.57638434,7.54167758,14.5721262,6.25920102,2.07821459,0,4.48601791,2.29824096,7.75568124,7.19186026,2.26066444,8.82930853
17.7486268,12.1677355,6.59868721,5.2484307,13.9447291,15.8370941,12.21372295,5.69323982,13.0063956,9.89247506,8.73634767,1.50722195,2.70744395,2.6719197,2.06985251,1.1925714,2.78202212,1.71563727,1.07534167
12.2770154,10.5495821,14.9832924,6.89497927,20.511773,28.7475159,13.8778467,9.16170875,13.3078017,23.9432551,15.0345302,2.94615428,3.43787121,1.98786248,3.91824966,2.44698598,1.86139768,1.74870029,0.61903499
6.6497838,4.35052286,7.28336444,3.64578739,10.8852556,9.45556282,7.222322411,3.51555858,2.55174712,4.8674108,0.38252505,0.85693963,2.34851767,0,1.55062079,2.42994139,1.90729392,2.89421961,2.50220862
8.2025541,3.46080981,4.6821619,2.82670601,11.8187852,6.63965638,6.581595485,3.68393283,5.72588751,14.5442223,5.33430902,1.73420425,0.78409524,0.32843021,2.10415771,4.36729107,6.64783154,2.0843791,3.10966716
3.51284485,2.88818808,2.94230186,1.71524852,3.88618168,4.37987967,4.032721752,3.20480502,6.10104689,5.71049222,3.14354492,0.89563261,0,0.83291092,1.92513677,2.27355114,1.85090805,1.26649017,2.34063619
