dACC,vACC,AId,AIv,Cla,CPu,NAc,VP,BNST,BLA,CeA,DG,MHb,LHb,PVT,PAG,SNc,SNr,VTA
0.86348668,1.57225471,0.83734619,2.60170018,1.35288619,1.08478834,1.3613362,1.87821232,0.54853411,4.42228808,3.77386135,2.1711653,2.93169844,2.95711412,1.12389896,2.66775262,1.23203559,0.74795154,1.05746588
1.45898787,3.7694678,0.62357877,0.29605876,2.96773678,2.93294862,1.43585505,1.03265807,2.4300147,0.20809768,0.20701351,0.68742129,1.37243296,2.04429695,1.21780721,0.84267957,0.29734368,0.72156229,2.04565033
0.75120745,0.83334777,1.19858275,0.85397561,1.85960177,0.5576974,0.77759752,1.12922313,2.57801107,1.43130541,1.19839816,1.13968615,0,2.66765827,1.29972128,0.58953897,0,0.70050595,1.05190837
0.63555536,0.35510709,1.01198465,0.72879071,0.1543522,0.42488637,1.75148614,0.64997677,0.56736311,0.17786156,0.49089266,1.02330568,0,0.25341339,1.56872339,0.22787418,1.51087913,0.80624811,0.54324792
0.83672265,1.20427916,0.54894605,0.57761446,1.00039481,1.34372525,0.76897441,1.20548307,0.94300137,0.4640018,0.69117278,0.63953205,2.32342796,0,2.3073884,1.24629692,0.72816294,0.97526317,0.92937573
2.30414189,0.38993063,0.84806517,0.60437874,0.23296575,0.72694895,0.32095178,0.48726703,0.13983885,0.16044395,0.18489494,1.26927083,0.7579446,0,0.20195238,0.65522985,1.91501316,0.54422983,2.47632715
0.74484039,0.390847,0.84274079,0.50028103,0.52417817,0.4909712,0.95619976,0.73529362,0.68984335,1.2615265,1.94667246,0.65700281,0,0.20736066,0.55549262,2.64809464,1.49813143,2.06472177,0.44032941
1.05759494,0.38264844,2.87950917,2.68862484,0.84481488,0.60689666,0.88484163,1.12835608,0.80649605,0.54119864,0.30640878,0.77639508,0.75329894,0.53654337,0.25702718,0.09202917,1.81843408,1.45173554,0.14045766
0.34746276,0.10211738,0.20924646,0.14857568,0.06306945,0.83113719,0.7427575,0.75352992,0.2968974,0.33327639,0.20068536,0.63622081,0.86119709,0.33361324,0.46798859,0.0305041,0,0.98778179,0.31523756
